url,Bairro,Valor de venda,Receita Anual p5,Receita Anual Media,Receita Anual p95,Retorno Esperado Ajustado,VPL Estimado
https://www.quintoandar.com.br/imovel/895182683/comprar/casa-4-quartos-jacarepagua-rio-de-janeiro?from_route=%22search_results%22&house_tags=isSaleGoodPrice&search_id=%227ac08b6e-8b8a-4b0c-b0ee-189cb821ee80%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A203%2C%22personalization%22%3Atrue%7D,Jacarepaguá,284500.0,0.0,38706.08788397506,125594.1083867985,44471.86561934723,504354.400163166
https://www.quintoandar.com.br/imovel/895167457/comprar/apartamento-3-quartos-praca-da-bandeira-rio-de-janeiro?from_route=%22search_results%22&house_tags=isSaleGoodPrice&search_id=%227586dd73-28d9-41f9-9494-9cc07f116877%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A218%2C%22personalization%22%3Atrue%7D,Rio Comprido,220000.0,0.0,25883.18085509463,82226.57290808925,29386.905009165166,333276.2105240187
https://www.quintoandar.com.br/imovel/893353953/comprar/casa-8-quartos-pechincha-rio-de-janeiro?from_route=%22search_results%22&house_tags=isSaleGoodPrice&search_id=%22bd8ba005-6ef3-49da-b888-02c50d631cb5%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A692%2C%22personalization%22%3Atrue%7D,Pechincha,400000.0,0.0,61164.24374329951,186726.38333918445,67927.39853948665,770363.0569103608
https://www.quintoandar.com.br/imovel/895289613/comprar/casa-7-quartos-taquara-rio-de-janeiro?from_route=%22search_results%22&house_tags=isSaleGoodPrice&search_id=%22274b1af5-b182-4225-b294-7f638bd2bb94%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A375%2C%22personalization%22%3Atrue%7D,Jacarepaguá,499900.0,0.0,80090.11195054748,274897.61996565957,95024.57996840565,1077671.565230492
https://www.quintoandar.com.br/imovel/894484872/comprar/apartamento-5-quartos-copacabana-rio-de-janeiro?from_route=%22search_results%22&house_tags=isSaleGoodPrice&house_tags=buyRented&search_id=%2202f22479-8d85-4422-88d2-5cb7263173c2%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A652%2C%22personalization%22%3Atrue%7D,Copacabana,1320000.0,32454.566299354505,274106.35196649027,525140.7550564536,251817.6968843422,2855858.680399489
https://www.quintoandar.com.br/imovel/892996919/comprar/casa-3-quartos-vargem-grande-rio-de-janeiro?from_route=%22search_results%22&search_id=%2219b6a586-e9d2-4101-9e95-3339490b5a04%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A100%2C%22personalization%22%3Atrue%7D,Vargem Grande,228000.0,0.0,34181.82581411937,107870.59538668182,38665.031984396046,438499.23411569116
https://www.quintoandar.com.br/imovel/895071161/comprar/casa-3-quartos-vargem-grande-rio-de-janeiro?from_route=%22search_results%22&house_tags=isSaleGoodPrice&house_tags=buyRented&search_id=%2219b6a586-e9d2-4101-9e95-3339490b5a04%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A114%2C%22personalization%22%3Atrue%7D,Vargem Grande,200000.0,0.0,30536.515757419973,89082.96974643375,33084.85182799674,375214.5399300982
https://www.quintoandar.com.br/imovel/892986056/comprar/casa-3-quartos-vargem-grande-rio-de-janeiro?from_route=%22search_results%22&search_id=%2219b6a586-e9d2-4101-9e95-3339490b5a04%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A197%2C%22personalization%22%3Atrue%7D,Vargem Grande,225000.0,0.0,30427.568351516427,89129.80244557379,33039.74466487297,374702.98063562025
https://www.quintoandar.com.br/imovel/895071161/comprar/casa-3-quartos-vargem-grande-rio-de-janeiro?from_route=%22search_results%22&house_tags=isSaleGoodPrice&house_tags=buyRented&search_id=%22825b008b-abe8-4b9a-908d-0621387a203e%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A800%2C%22personalization%22%3Atrue%7D,Vargem Grande,200000.0,0.0,30657.932747571558,86930.88264992234,32715.142903770247,371021.6795650925
https://www.quintoandar.com.br/imovel/892996919/comprar/casa-3-quartos-vargem-grande-rio-de-janeiro?from_route=%22search_results%22&search_id=%22825b008b-abe8-4b9a-908d-0621387a203e%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A825%2C%22personalization%22%3Atrue%7D,Vargem Grande,228000.0,0.0,31375.432933463475,101846.1078481209,36056.93803635592,408920.90092877165
https://www.quintoandar.com.br/imovel/892986056/comprar/casa-3-quartos-vargem-grande-rio-de-janeiro?from_route=%22search_results%22&search_id=%22825b008b-abe8-4b9a-908d-0621387a203e%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A831%2C%22personalization%22%3Atrue%7D,Vargem Grande,225000.0,0.0,31293.095239591992,89248.31507161514,33496.21063411902,379879.75064307946
https://www.quintoandar.com.br/imovel/894162862/comprar/casa-2-quartos-vicente-de-carvalho-rio-de-janeiro?from_route=%22search_results%22&house_tags=isSaleGoodPrice&search_id=%222268a300-a559-478a-99e4-3818545b5ead%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A261%2C%22personalization%22%3Atrue%7D,Irajá,150000.0,0.0,17456.126284884147,49677.16435609877,18663.49601366183,211662.27694353738
https://www.quintoandar.com.br/imovel/894591741/comprar/casa-5-quartos-vila-isabel-rio-de-janeiro?from_route=%22search_results%22&house_tags=isSaleGoodPrice&search_id=%22c495a495-88e9-4611-95d2-2f6d389cbb6d%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A259%2C%22personalization%22%3Atrue%7D,Vila Isabel,420000.0,0.0,60871.372551589135,146482.3812950525,59732.16253480507,677421.0747881045
